YOB,NKID,DEP,PHON,SINC,AES,DAINC,RES,DHVAL,DMORT,DOUTM,DOUTL,DOUTHP,DOUTCC,BAD
19.0,4.0,0.0,1,0.0,R,0.0,O,14464.0,4.0,0.0,0.0,0.0,0.0,0.0
41.0,2.0,0.0,1,0.0,P,36000.0,O,0.0,0.0,280.0,664.0,0.0,80.0,0.0
66.0,0.0,0.0,1,0.0,N,30000.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51.0,2.0,0.0,1,0.0,P,464.0,O,24928.0,8464.0,584.0,320.0,0.0,60.0,0.0
65.0,0.0,0.0,1,0.0,P,15000.0,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0,2.0,0.0,1,10500.0,E,48000.0,O,43392.0,46464.0,1120.0,0.0,0.0,0.0,0.0
59.0,0.0,0.0,1,6500.0,B,30000.0,O,62464.0,56000.0,520.0,0.0,96.0,0.0,0.0
43.0,1.0,0.0,1,13500.0,E,9000.0,O,63392.0,54464.0,0.0,200.0,0.0,0.0,0.0
52.0,0.0,0.0,1,0.0,E,22500.0,P,0.0,0.0,0.0,200.0,0.0,80.0,0.0
65.0,0.0,0.0,1,0.0,P,19500.0,O,26464.0,4464.0,540.0,0.0,0.0,0.0,0.0
48.0,2.0,0.0,1,0.0,E,30000.0,O,38464.0,23664.0,600.0,0.0,524.0,0.0,0.0
55.0,0.0,0.0,1,8000.0,V,21000.0,O,14464.0,64000.0,376.0,0.0,0.0,0.0,0.0
44.0,0.0,0.0,1,0.0,P,24000.0,O,54464.0,0.0,384.0,0.0,0.0,0.0,0.0
53.0,1.0,0.0,1,10000.0,V,28170.0,O,8928.0,28000.0,404.0,0.0,0.0,0.0,0.0
54.0,2.0,0.0,1,2100.0,N,48000.0,O,50464.0,28464.0,600.0,0.0,0.0,88.0,0.0
62.0,0.0,0.0,1,0.0,P,18009.0,F,0.0,0.0,280.0,0.0,0.0,0.0,0.0
46.0,1.0,0.0,1,2500.0,P,33000.0,O,3392.0,54000.0,0.0,240.0,480.0,0.0,0.0
19.0,0.0,0.0,1,104.0,R,24000.0,O,52928.0,4.0,0.0,0.0,0.0,0.0,0.0
62.0,0.0,0.0,1,8970.0,B,18474.0,O,57464.0,28008.0,748.0,0.0,0.0,140.0,0.0
64.0,0.0,0.0,1,0.0,T,4170.0,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,0.0,0.0,1,20000.0,U,0.0,O,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33.0,0.0,0.0,1,3600.0,P,9360.0,U,0.0,0.0,152.0,512.0,0.0,0.0,1.0
38.0,2.0,0.0,1,5000.0,V,18464.0,O,13568.0,28928.0,0.0,2000.0,0.0,600.0,0.0
31.0,2.0,1.0,1,0.0,P,33464.0,F,0.0,0.0,2800.0,0.0,0.0,800.0,0.0
55.0,1.0,1.0,1,0.0,P,27000.0,O,16928.0,14464.0,580.0,0.0,0.0,0.0,0.0
31.0,2.0,0.0,0,0.0,P,3928.0,F,0.0,0.0,852.0,0.0,0.0,0.0,0.0
33.0,0.0,0.0,1,0.0,P,33750.0,O,54464.0,30464.0,940.0,460.0,44.0,0.0,0.0
29.0,0.0,0.0,1,1000.0,P,60000.0,O,3392.0,4.0,0.0,0.0,0.0,0.0,0.0
63.0,0.0,0.0,0,0.0,P,18300.0,F,0.0,0.0,500.0,0.0,0.0,0.0,0.0
42.0,3.0,0.0,1,1000.0,V,26637.0,O,54464.0,4.0,0.0,0.0,276.0,0.0,0.0
45.0,4.0,0.0,1,10400.0,V,6600.0,O,48928.0,54000.0,352.0,124.0,0.0,0.0,0.0
60.0,0.0,0.0,1,8000.0,P,36000.0,O,48928.0,20928.0,1608.0,800.0,0.0,0.0,0.0
28.0,0.0,0.0,1,0.0,V,17100.0,F,0.0,0.0,0.0,100.0,0.0,0.0,0.0
63.0,0.0,0.0,1,0.0,B,26400.0,P,0.0,0.0,320.0,316.0,0.0,0.0,0.0
59.0,1.0,0.0,1,2000.0,P,48000.0,O,36928.0,50464.0,776.0,276.0,0.0,0.0,0.0
65.0,0.0,0.0,0,0.0,V,9000.0,O,36000.0,20000.0,220.0,112.0,0.0,0.0,0.0
44.0,2.0,0.0,1,0.0,V,42000.0,O,28928.0,22000.0,108.0,56.0,0.0,0.0,0.0
64.0,0.0,0.0,1,0.0,V,21357.0,P,0.0,0.0,0.0,0.0,0.0,0.0,1.0
66.0,0.0,0.0,1,0.0,P,15000.0,P,0.0,0.0,0.0,0.0,0.0,0.0,1.0
45.0,0.0,0.0,1,30000.0,W,0.0,O,21248.0,14464.0,0.0,0.0,0.0,0.0,0.0
68.0,0.0,0.0,1,0.0,T,6189.0,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.0,2.0,0.0,1,0.0,P,55068.0,O,43392.0,4.0,0.0,0.0,0.0,0.0,0.0
45.0,4.0,0.0,1,0.0,E,42000.0,O,28928.0,34464.0,988.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0,850.0,R,37500.0,U,0.0,0.0,520.0,0.0,0.0,0.0,0.0
58.0,0.0,0.0,1,0.0,P,40500.0,O,26464.0,64000.0,520.0,0.0,0.0,0.0,0.0
66.0,0.0,0.0,1,0.0,P,21750.0,P,0.0,0.0,0.0,0.0,0.0,60.0,1.0
59.0,1.0,0.0,1,16000.0,V,15000.0,O,24928.0,54464.0,960.0,180.0,0.0,0.0,0.0
68.0,0.0,0.0,1,0.0,T,0.0,P,48928.0,6464.0,0.0,0.0,0.0,0.0,0.0
99.0,0.0,0.0,1,0.0,R,0.0,O,34464.0,4.0,0.0,0.0,0.0,0.0,0.0
45.0,4.0,0.0,1,20000.0,W,0.0,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,0.0,0.0,1,0.0,V,34170.0,O,0.0,0.0,0.0,0.0,0.0,0.0,1.0
54.0,0.0,0.0,1,0.0,P,23646.0,O,4928.0,4.0,0.0,380.0,0.0,32.0,0.0
57.0,0.0,0.0,1,0.0,P,18765.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,0.0,0.0,1,0.0,R,0.0,U,0.0,0.0,432.0,0.0,0.0,0.0,0.0
57.0,3.0,0.0,1,2928.0,E,8784.0,U,0.0,0.0,400.0,0.0,0.0,0.0,0.0
55.0,3.0,0.0,1,4000.0,V,60000.0,O,57856.0,56928.0,2000.0,0.0,0.0,600.0,0.0
68.0,0.0,0.0,0,0.0,T,13800.0,P,0.0,0.0,400.0,0.0,0.0,0.0,1.0
67.0,0.0,0.0,1,0.0,T,18000.0,P,0.0,0.0,400.0,0.0,0.0,0.0,0.0
19.0,0.0,0.0,1,0.0,R,12000.0,O,30464.0,4.0,0.0,0.0,0.0,0.0,0.0
57.0,0.0,0.0,1,0.0,P,52500.0,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,0.0,0.0,1,0.0,E,34500.0,O,3392.0,36000.0,288.0,0.0,0.0,0.0,0.0
66.0,0.0,0.0,1,0.0,M,1620.0,N,0.0,0.0,0.0,272.0,0.0,0.0,1.0
46.0,2.0,0.0,1,1960.0,P,39750.0,O,12464.0,29200.0,304.0,80.0,0.0,80.0,0.0
59.0,0.0,0.0,1,7195.0,V,19728.0,O,40464.0,56000.0,292.0,0.0,0.0,0.0,0.0
60.0,0.0,0.0,1,0.0,P,22200.0,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.0,0.0,0.0,1,0.0,V,12825.0,N,0.0,0.0,0.0,0.0,0.0,20.0,0.0
66.0,0.0,0.0,1,0.0,P,16500.0,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,1.0,0.0,1,0.0,P,36012.0,O,62464.0,40464.0,1000.0,0.0,0.0,0.0,0.0
59.0,1.0,0.0,1,0.0,V,36000.0,O,58464.0,26464.0,1160.0,640.0,0.0,0.0,0.0
62.0,0.0,0.0,1,0.0,P,18000.0,F,0.0,0.0,572.0,0.0,0.0,0.0,0.0
49.0,0.0,0.0,1,0.0,P,43800.0,O,12928.0,22464.0,760.0,240.0,0.0,100.0,0.0
61.0,0.0,0.0,0,0.0,M,30510.0,F,0.0,0.0,384.0,0.0,0.0,0.0,0.0
52.0,0.0,0.0,1,2000.0,E,60000.0,O,63392.0,43392.0,2280.0,0.0,0.0,0.0,0.0
50.0,2.0,0.0,1,0.0,V,59931.0,O,11392.0,54464.0,880.0,576.0,0.0,64.0,0.0
67.0,0.0,0.0,1,0.0,T,0.0,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.0,0.0,0.0,0,0.0,M,30300.0,F,0.0,0.0,0.0,0.0,80.0,60.0,0.0
61.0,0.0,0.0,1,0.0,V,21474.0,U,0.0,0.0,0.0,0.0,0.0,640.0,0.0
37.0,0.0,0.0,1,7500.0,P,3000.0,O,8928.0,4.0,0.0,0.0,0.0,20.0,0.0
64.0,0.0,0.0,1,0.0,P,18000.0,F,0.0,0.0,480.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,1,0.0,R,15300.0,O,42464.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,0.0,0.0,1,3000.0,E,22500.0,O,28928.0,12000.0,224.0,0.0,0.0,100.0,0.0
68.0,0.0,0.0,1,0.0,T,5862.0,U,0.0,0.0,160.0,0.0,0.0,0.0,0.0
56.0,3.0,0.0,1,9000.0,P,15000.0,U,0.0,0.0,448.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,1,0.0,V,23445.0,O,4928.0,4.0,0.0,0.0,0.0,120.0,0.0
45.0,1.0,0.0,1,0.0,P,29769.0,U,0.0,0.0,408.0,0.0,0.0,40.0,0.0
57.0,0.0,0.0,1,0.0,E,7800.0,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
52.0,2.0,1.0,1,0.0,P,45000.0,O,54464.0,14464.0,684.0,0.0,0.0,0.0,0.0
62.0,0.0,0.0,1,0.0,V,60464.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,0.0,0.0,1,9500.0,P,23400.0,O,34464.0,60000.0,488.0,200.0,0.0,100.0,0.0
21.0,0.0,0.0,1,0.0,R,0.0,O,0.0,0.0,0.0,152.0,0.0,0.0,0.0
39.0,3.0,0.0,1,3600.0,P,36000.0,O,8928.0,0.0,380.0,152.0,0.0,32.0,0.0
63.0,0.0,0.0,1,0.0,P,33000.0,U,0.0,0.0,356.0,424.0,0.0,200.0,0.0
53.0,0.0,0.0,1,5000.0,P,36000.0,O,26464.0,51200.0,440.0,380.0,0.0,60.0,0.0
64.0,0.0,0.0,1,0.0,E,24000.0,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,0.0,0.0,1,0.0,V,23100.0,U,0.0,0.0,340.0,0.0,0.0,100.0,0.0
61.0,0.0,0.0,1,0.0,P,19500.0,P,0.0,0.0,0.0,0.0,0.0,160.0,1.0
33.0,1.0,0.0,1,1750.0,V,24464.0,O,57856.0,36000.0,600.0,0.0,0.0,80.0,0.0
49.0,1.0,0.0,1,3500.0,P,34200.0,O,62464.0,41664.0,752.0,0.0,64.0,160.0,0.0
53.0,2.0,0.0,1,0.0,E,39464.0,O,6784.0,28928.0,2000.0,0.0,0.0,0.0,0.0
55.0,0.0,0.0,1,0.0,P,40500.0,O,23392.0,48464.0,1040.0,0.0,0.0,0.0,1.0
57.0,0.0,0.0,1,0.0,V,28500.0,O,4928.0,14052.0,672.0,436.0,0.0,128.0,0.0
39.0,5.0,0.0,1,0.0,E,0.0,O,48928.0,40000.0,612.0,0.0,0.0,0.0,0.0
62.0,0.0,0.0,1,0.0,P,20907.0,F,0.0,0.0,400.0,0.0,0.0,0.0,0.0
36.0,3.0,0.0,1,0.0,V,57000.0,O,23392.0,24000.0,340.0,0.0,0.0,0.0,0.0
61.0,0.0,0.0,1,0.0,P,25500.0,P,0.0,0.0,0.0,668.0,0.0,80.0,1.0
43.0,2.0,0.0,1,1500.0,P,42000.0,O,48928.0,48000.0,440.0,140.0,0.0,0.0,0.0
21.0,0.0,0.0,1,0.0,R,24000.0,O,43392.0,4.0,0.0,0.0,0.0,0.0,0.0
66.0,0.0,0.0,1,0.0,P,2961.0,F,0.0,0.0,300.0,0.0,0.0,80.0,0.0
68.0,0.0,0.0,1,0.0,P,14625.0,P,0.0,0.0,160.0,272.0,0.0,0.0,0.0
25.0,2.0,0.0,1,0.0,P,18928.0,O,10176.0,2464.0,1520.0,0.0,0.0,0.0,0.0
58.0,0.0,0.0,1,0.0,P,18000.0,P,0.0,0.0,400.0,0.0,0.0,0.0,0.0
37.0,1.0,0.0,1,15000.0,P,10500.0,O,48928.0,4.0,0.0,0.0,0.0,0.0,0.0
62.0,0.0,0.0,1,0.0,P,28200.0,O,6464.0,58000.0,488.0,0.0,0.0,0.0,0.0
57.0,1.0,1.0,1,4800.0,M,58500.0,O,60928.0,46928.0,1840.0,436.0,0.0,0.0,0.0
47.0,2.0,0.0,1,2500.0,E,24000.0,O,64464.0,52000.0,520.0,0.0,0.0,0.0,0.0
58.0,2.0,0.0,1,1500.0,E,24000.0,O,23392.0,10464.0,676.0,0.0,0.0,0.0,0.0
52.0,2.0,0.0,1,2500.0,V,32403.0,O,4928.0,8464.0,536.0,104.0,0.0,100.0,0.0
42.0,0.0,0.0,1,0.0,P,30000.0,O,45664.0,34464.0,760.0,800.0,0.0,0.0,0.0
66.0,0.0,0.0,1,0.0,P,18000.0,O,64000.0,0.0,416.0,192.0,0.0,0.0,0.0
39.0,0.0,0.0,1,0.0,V,0.0,U,0.0,0.0,416.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,1,0.0,R,16200.0,F,0.0,0.0,160.0,0.0,0.0,0.0,0.0
60.0,0.0,0.0,0,0.0,V,24300.0,O,62000.0,60000.0,440.0,156.0,0.0,0.0,0.0
65.0,0.0,0.0,1,0.0,E,45000.0,P,0.0,0.0,200.0,0.0,0.0,0.0,0.0
58.0,0.0,0.0,1,0.0,B,30900.0,F,0.0,0.0,280.0,0.0,0.0,0.0,0.0
26.0,0.0,0.0,1,0.0,E,9464.0,O,17856.0,0.0,0.0,0.0,0.0,0.0,0.0
48.0,3.0,0.0,1,0.0,P,41400.0,O,6464.0,36000.0,352.0,320.0,0.0,0.0,0.0
45.0,2.0,0.0,1,6250.0,V,41256.0,O,60928.0,56464.0,1292.0,0.0,0.0,0.0,0.0
54.0,2.0,0.0,1,0.0,V,31500.0,O,54464.0,0.0,912.0,88.0,0.0,200.0,1.0
62.0,1.0,0.0,1,0.0,E,33000.0,O,14464.0,4.0,0.0,0.0,0.0,0.0,1.0
42.0,2.0,0.0,1,6000.0,P,27000.0,O,63392.0,20000.0,460.0,0.0,0.0,0.0,1.0
48.0,2.0,0.0,1,1800.0,V,51000.0,O,43392.0,14464.0,800.0,0.0,0.0,0.0,0.0
46.0,2.0,1.0,1,0.0,P,15464.0,O,15712.0,28928.0,520.0,0.0,0.0,0.0,0.0
63.0,0.0,0.0,1,0.0,P,18750.0,O,464.0,0.0,600.0,0.0,0.0,0.0,0.0
63.0,0.0,0.0,1,0.0,E,24000.0,P,0.0,0.0,0.0,428.0,0.0,0.0,0.0
65.0,0.0,0.0,1,4000.0,P,17700.0,O,2464.0,64000.0,500.0,200.0,0.0,0.0,0.0
61.0,0.0,0.0,0,0.0,P,16500.0,F,0.0,0.0,400.0,80.0,0.0,0.0,1.0
59.0,0.0,0.0,1,0.0,V,30000.0,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.0,0.0,0.0,1,0.0,P,37500.0,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.0,0.0,0.0,1,0.0,T,13800.0,O,27392.0,4928.0,400.0,0.0,0.0,0.0,0.0
34.0,1.0,1.0,1,0.0,E,9464.0,O,17856.0,16000.0,552.0,0.0,0.0,400.0,0.0
59.0,0.0,0.0,1,6000.0,B,30900.0,O,62464.0,0.0,0.0,1400.0,0.0,0.0,0.0
64.0,0.0,0.0,1,0.0,P,18300.0,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,2.0,0.0,1,0.0,P,15464.0,O,59392.0,54464.0,2240.0,0.0,0.0,0.0,0.0
61.0,0.0,0.0,1,0.0,P,33000.0,P,0.0,0.0,100.0,500.0,0.0,0.0,0.0
13.0,0.0,0.0,1,0.0,R,45000.0,O,6784.0,4.0,0.0,0.0,0.0,400.0,0.0
29.0,1.0,0.0,1,0.0,E,36000.0,O,23392.0,38464.0,1048.0,0.0,0.0,0.0,1.0
55.0,2.0,0.0,1,0.0,E,48928.0,O,41248.0,48928.0,1960.0,0.0,0.0,0.0,1.0
44.0,0.0,0.0,0,0.0,V,30900.0,O,58928.0,54464.0,840.0,440.0,0.0,80.0,0.0
47.0,2.0,0.0,1,0.0,E,0.0,U,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,0.0,0.0,1,0.0,P,15000.0,P,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26.0,0.0,0.0,1,0.0,P,15600.0,O,18464.0,28000.0,240.0,0.0,0.0,0.0,1.0
47.0,0.0,0.0,1,0.0,P,22500.0,O,23392.0,30464.0,888.0,0.0,0.0,0.0,1.0
40.0,1.0,0.0,1,14500.0,V,57000.0,O,12320.0,12464.0,680.0,0.0,0.0,80.0,0.0
36.0,0.0,0.0,1,0.0,V,16947.0,U,0.0,0.0,0.0,0.0,464.0,0.0,0.0
63.0,0.0,0.0,1,5200.0,P,11700.0,O,22464.0,0.0,540.0,264.0,100.0,160.0,1.0
26.0,0.0,0.0,1,0.0,R,17400.0,O,22464.0,4.0,0.0,0.0,464.0,0.0,0.0
37.0,1.0,0.0,1,0.0,V,51000.0,O,36928.0,8864.0,712.0,0.0,0.0,0.0,1.0
35.0,0.0,0.0,1,0.0,P,21000.0,O,34464.0,0.0,240.0,0.0,0.0,0.0,0.0
64.0,0.0,0.0,1,0.0,V,18252.0,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.0,0.0,0.0,1,0.0,P,12000.0,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56.0,1.0,0.0,1,8050.0,V,43500.0,O,8928.0,62464.0,1168.0,0.0,56.0,0.0,0.0
56.0,0.0,0.0,1,11300.0,P,24000.0,O,48928.0,58464.0,880.0,304.0,0.0,0.0,0.0
42.0,1.0,2.0,1,5040.0,P,27000.0,O,4928.0,54464.0,772.0,0.0,0.0,0.0,0.0
64.0,0.0,0.0,1,0.0,P,27000.0,P,0.0,0.0,400.0,472.0,0.0,0.0,0.0
31.0,2.0,0.0,1,0.0,P,31500.0,O,63392.0,50000.0,728.0,0.0,0.0,0.0,0.0
61.0,1.0,0.0,1,0.0,P,31671.0,O,12928.0,928.0,540.0,316.0,0.0,120.0,1.0
47.0,2.0,0.0,1,0.0,P,18000.0,U,0.0,0.0,400.0,0.0,0.0,0.0,0.0
56.0,0.0,0.0,1,0.0,P,17700.0,F,0.0,0.0,400.0,0.0,0.0,0.0,0.0
49.0,1.0,0.0,1,9600.0,P,22500.0,O,43392.0,4928.0,1440.0,0.0,0.0,160.0,1.0
58.0,0.0,0.0,1,0.0,P,18000.0,O,0.0,0.0,400.0,0.0,0.0,0.0,0.0
19.0,0.0,0.0,1,0.0,R,0.0,O,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51.0,2.0,0.0,1,0.0,P,33000.0,O,46464.0,60000.0,428.0,132.0,504.0,0.0,0.0
69.0,0.0,0.0,1,0.0,T,4329.0,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56.0,1.0,0.0,0,0.0,P,24464.0,O,56928.0,56928.0,1920.0,0.0,0.0,1200.0,0.0
67.0,0.0,0.0,1,0.0,T,10500.0,P,0.0,0.0,288.0,0.0,0.0,0.0,0.0
29.0,0.0,0.0,0,0.0,E,0.0,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.0,0.0,0.0,0,0.0,P,16500.0,O,26464.0,26464.0,668.0,96.0,160.0,0.0,0.0
52.0,2.0,0.0,1,0.0,P,25500.0,O,38464.0,0.0,768.0,0.0,0.0,0.0,0.0
48.0,3.0,0.0,1,0.0,P,464.0,O,23392.0,2464.0,0.0,0.0,0.0,0.0,0.0
62.0,0.0,0.0,1,8000.0,P,24000.0,O,26464.0,0.0,680.0,0.0,0.0,0.0,0.0
67.0,0.0,0.0,1,0.0,T,6000.0,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,1.0,0.0,1,1300.0,P,31500.0,U,0.0,0.0,392.0,0.0,152.0,160.0,0.0
53.0,3.0,0.0,1,0.0,E,34500.0,O,10928.0,14464.0,660.0,0.0,0.0,0.0,0.0
67.0,0.0,0.0,1,0.0,T,0.0,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,0.0,2.0,1,0.0,R,10947.0,U,0.0,0.0,0.0,0.0,0.0,28.0,0.0
51.0,1.0,0.0,1,2000.0,P,36000.0,O,20928.0,34464.0,720.0,200.0,0.0,0.0,0.0
55.0,3.0,0.0,1,0.0,P,24000.0,O,50464.0,30464.0,880.0,0.0,0.0,0.0,0.0
56.0,3.0,0.0,1,0.0,M,55200.0,U,0.0,0.0,560.0,200.0,600.0,200.0,0.0
52.0,3.0,0.0,1,0.0,P,19500.0,O,60000.0,4.0,0.0,0.0,0.0,0.0,0.0
65.0,0.0,0.0,1,0.0,P,10476.0,P,0.0,0.0,240.0,0.0,80.0,0.0,1.0
50.0,2.0,0.0,0,0.0,M,39000.0,O,28928.0,42464.0,1000.0,240.0,0.0,0.0,0.0
19.0,0.0,0.0,1,1209.0,R,19761.0,U,0.0,0.0,340.0,52.0,0.0,0.0,0.0
43.0,1.0,0.0,1,0.0,P,27000.0,U,0.0,0.0,360.0,0.0,0.0,0.0,0.0
53.0,2.0,0.0,1,0.0,V,39132.0,O,60928.0,14464.0,760.0,0.0,0.0,0.0,0.0
64.0,0.0,0.0,1,0.0,P,9600.0,P,0.0,0.0,224.0,0.0,0.0,0.0,0.0
53.0,1.0,0.0,1,0.0,P,52500.0,O,24928.0,54464.0,1108.0,348.0,0.0,0.0,0.0
66.0,0.0,0.0,1,0.0,T,5700.0,P,0.0,0.0,356.0,0.0,0.0,0.0,0.0
41.0,0.0,0.0,1,8000.0,P,36000.0,O,11392.0,6588.0,184.0,0.0,0.0,0.0,0.0
